layout,protocol,task,train_seed,eval_seed,successes,episodes,sr_percent,checkpoint_sha256,manifest_sha256
five_slot,p75,pusht,0,0,90,100,90.0,4498526650779c385c6115cbdd677bb9373fe1cc13a06c77e450e3041827b243,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
five_slot,p75,pusht,0,1,89,100,89.0,4498526650779c385c6115cbdd677bb9373fe1cc13a06c77e450e3041827b243,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
five_slot,p75,pusht,0,42,88,100,88.0,4498526650779c385c6115cbdd677bb9373fe1cc13a06c77e450e3041827b243,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
five_slot,p66,reacher,3072,0,51,100,51.0,c3602d4e4a05db588a19157bda2878639b5feac4ef95076adf162ebd57df15bd,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
five_slot,p66,reacher,3072,1,44,100,44.0,c3602d4e4a05db588a19157bda2878639b5feac4ef95076adf162ebd57df15bd,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
five_slot,p66,reacher,3072,42,53,100,53.0,c3602d4e4a05db588a19157bda2878639b5feac4ef95076adf162ebd57df15bd,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
four_slot,p66,cube,42,0,100,100,100.0,4b1fc6251814d32be01c5b117af1ebde1d02eb139058b804006b8f0bd460866d,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
four_slot,p66,cube,42,1,99,100,99.0,4b1fc6251814d32be01c5b117af1ebde1d02eb139058b804006b8f0bd460866d,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
four_slot,p66,cube,42,42,100,100,100.0,4b1fc6251814d32be01c5b117af1ebde1d02eb139058b804006b8f0bd460866d,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
five_slot,p75,pusht,42,0,84,100,84.0,9ed2afafcc80c5577b3427999e78d23f6187556dd712f7aafb518301a44be643,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
five_slot,p75,pusht,42,1,95,100,95.0,9ed2afafcc80c5577b3427999e78d23f6187556dd712f7aafb518301a44be643,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
five_slot,p75,pusht,42,42,85,100,85.0,9ed2afafcc80c5577b3427999e78d23f6187556dd712f7aafb518301a44be643,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
five_slot,p66,tworoom,0,0,99,100,99.0,0aa4b6d57c46c6c0fc10bf9bd457a0ad5f5b32af814ce762778767ca17e74599,2fea3d51e85b1a93c284f566bbd9714eb70d013507554bd581b851b33ad4643a
five_slot,p66,tworoom,0,1,100,100,100.0,0aa4b6d57c46c6c0fc10bf9bd457a0ad5f5b32af814ce762778767ca17e74599,a46e008facb0427a97dadde11e39f105f9ac3fb138627b254fcd9cbb83ec8805
five_slot,p66,tworoom,0,42,98,100,98.0,0aa4b6d57c46c6c0fc10bf9bd457a0ad5f5b32af814ce762778767ca17e74599,216250de76495a17a58bb16538b678408063798c3e4f55381943b79214ac83f6
four_slot,p66,cube,3072,0,100,100,100.0,8aa5ee9fb31d1c85c15f653d85d80a7f3ff65d2df5a1f2f2343e3f6ecb670e13,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
four_slot,p66,cube,3072,1,100,100,100.0,8aa5ee9fb31d1c85c15f653d85d80a7f3ff65d2df5a1f2f2343e3f6ecb670e13,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
four_slot,p66,cube,3072,42,100,100,100.0,8aa5ee9fb31d1c85c15f653d85d80a7f3ff65d2df5a1f2f2343e3f6ecb670e13,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
five_slot,p75,pusht,3072,0,85,100,85.0,409463a3edd169952198587966c598301a810662d7a6c2ab765e74a1033081e2,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
five_slot,p75,pusht,3072,1,86,100,86.0,409463a3edd169952198587966c598301a810662d7a6c2ab765e74a1033081e2,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
five_slot,p75,pusht,3072,42,87,100,87.0,409463a3edd169952198587966c598301a810662d7a6c2ab765e74a1033081e2,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
five_slot,p66,tworoom,42,0,100,100,100.0,7e7e0b3dd93b90390c107c020492ca095c59fb18832a9b5088ffc290b829d01a,2fea3d51e85b1a93c284f566bbd9714eb70d013507554bd581b851b33ad4643a
five_slot,p66,tworoom,42,1,99,100,99.0,7e7e0b3dd93b90390c107c020492ca095c59fb18832a9b5088ffc290b829d01a,a46e008facb0427a97dadde11e39f105f9ac3fb138627b254fcd9cbb83ec8805
five_slot,p66,tworoom,42,42,97,100,97.0,7e7e0b3dd93b90390c107c020492ca095c59fb18832a9b5088ffc290b829d01a,216250de76495a17a58bb16538b678408063798c3e4f55381943b79214ac83f6
four_slot,p66,reacher,0,0,51,100,51.0,d1ff9e7908a836114585c23d3870b5416ffcb06ca00b1355db826c8c5c7cf862,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
four_slot,p66,reacher,0,1,39,100,39.0,d1ff9e7908a836114585c23d3870b5416ffcb06ca00b1355db826c8c5c7cf862,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
four_slot,p66,reacher,0,42,50,100,50.0,d1ff9e7908a836114585c23d3870b5416ffcb06ca00b1355db826c8c5c7cf862,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
five_slot,p75,cube,0,0,100,100,100.0,483b7d531e0a77951a31a7af6ad1b347e82b7466c421a79dcf3958971c950e7b,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
five_slot,p75,cube,0,1,100,100,100.0,483b7d531e0a77951a31a7af6ad1b347e82b7466c421a79dcf3958971c950e7b,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
five_slot,p75,cube,0,42,100,100,100.0,483b7d531e0a77951a31a7af6ad1b347e82b7466c421a79dcf3958971c950e7b,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
five_slot,p66,tworoom,3072,0,100,100,100.0,ab41a8781f7b7784d258d390fc59f7220773b28da3607a780091e801f353be13,2fea3d51e85b1a93c284f566bbd9714eb70d013507554bd581b851b33ad4643a
five_slot,p66,tworoom,3072,1,99,100,99.0,ab41a8781f7b7784d258d390fc59f7220773b28da3607a780091e801f353be13,a46e008facb0427a97dadde11e39f105f9ac3fb138627b254fcd9cbb83ec8805
five_slot,p66,tworoom,3072,42,97,100,97.0,ab41a8781f7b7784d258d390fc59f7220773b28da3607a780091e801f353be13,216250de76495a17a58bb16538b678408063798c3e4f55381943b79214ac83f6
four_slot,p66,reacher,42,0,55,100,55.00000000000001,4f83cef036eeec14de1830df2659a2dfe85a9f97fcf9c7962434f48d85aed338,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
four_slot,p66,reacher,42,1,49,100,49.0,4f83cef036eeec14de1830df2659a2dfe85a9f97fcf9c7962434f48d85aed338,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
four_slot,p66,reacher,42,42,39,100,39.0,4f83cef036eeec14de1830df2659a2dfe85a9f97fcf9c7962434f48d85aed338,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
five_slot,p75,cube,42,0,100,100,100.0,bef878b858a9bc9b76a837f1cecfc63de21e83f6d20b272907b60e4b8e148c01,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
five_slot,p75,cube,42,1,99,100,99.0,bef878b858a9bc9b76a837f1cecfc63de21e83f6d20b272907b60e4b8e148c01,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
five_slot,p75,cube,42,42,100,100,100.0,bef878b858a9bc9b76a837f1cecfc63de21e83f6d20b272907b60e4b8e148c01,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
four_slot,p75,pusht,0,0,85,100,85.0,2c65fb94cf4e70e8145282b6e866249ac4d54b254758511d5553ce847ecc42c7,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
four_slot,p75,pusht,0,1,88,100,88.0,2c65fb94cf4e70e8145282b6e866249ac4d54b254758511d5553ce847ecc42c7,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
four_slot,p75,pusht,0,42,90,100,90.0,2c65fb94cf4e70e8145282b6e866249ac4d54b254758511d5553ce847ecc42c7,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
four_slot,p66,reacher,3072,0,53,100,53.0,63a44057eb3de0cc5bd9bc56540e57eb524403b659aa903b84859999aac0b779,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
four_slot,p66,reacher,3072,1,46,100,46.0,63a44057eb3de0cc5bd9bc56540e57eb524403b659aa903b84859999aac0b779,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
four_slot,p66,reacher,3072,42,58,100,57.99999999999999,63a44057eb3de0cc5bd9bc56540e57eb524403b659aa903b84859999aac0b779,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
five_slot,p75,cube,3072,0,100,100,100.0,c89d01713e312ed40ecf773ce1b74e6951fa6b2b1cb891bd3442c545a5be349f,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
five_slot,p75,cube,3072,1,100,100,100.0,c89d01713e312ed40ecf773ce1b74e6951fa6b2b1cb891bd3442c545a5be349f,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
five_slot,p75,cube,3072,42,100,100,100.0,c89d01713e312ed40ecf773ce1b74e6951fa6b2b1cb891bd3442c545a5be349f,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
four_slot,p75,pusht,42,0,86,100,86.0,72c605e3dd0539bb24561794d0790a423d27dac95816224e436827a77d3bc61e,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
four_slot,p75,pusht,42,1,86,100,86.0,72c605e3dd0539bb24561794d0790a423d27dac95816224e436827a77d3bc61e,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
four_slot,p75,pusht,42,42,88,100,88.0,72c605e3dd0539bb24561794d0790a423d27dac95816224e436827a77d3bc61e,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
four_slot,p66,tworoom,0,0,91,100,91.0,d284e97a61b5db83abc71bd33ad17706070cfa6feb3be9a47f651d1f08ac6047,2fea3d51e85b1a93c284f566bbd9714eb70d013507554bd581b851b33ad4643a
four_slot,p66,tworoom,0,1,90,100,90.0,d284e97a61b5db83abc71bd33ad17706070cfa6feb3be9a47f651d1f08ac6047,a46e008facb0427a97dadde11e39f105f9ac3fb138627b254fcd9cbb83ec8805
four_slot,p66,tworoom,0,42,88,100,88.0,d284e97a61b5db83abc71bd33ad17706070cfa6feb3be9a47f651d1f08ac6047,216250de76495a17a58bb16538b678408063798c3e4f55381943b79214ac83f6
five_slot,p75,reacher,0,0,56,100,56.00000000000001,37b8d12f9b34a16438ff66ad4a7809b1726fa9c0445cc42ed5fb6b9a622aaaa3,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
five_slot,p75,reacher,0,1,56,100,56.00000000000001,37b8d12f9b34a16438ff66ad4a7809b1726fa9c0445cc42ed5fb6b9a622aaaa3,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
five_slot,p75,reacher,0,42,53,100,53.0,37b8d12f9b34a16438ff66ad4a7809b1726fa9c0445cc42ed5fb6b9a622aaaa3,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
four_slot,p75,pusht,3072,0,93,100,93.0,6b926c373d8d50bcb5c0f6f9fa07f9d44893f739eeb4ab65b875abb080d17efe,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
four_slot,p75,pusht,3072,1,95,100,95.0,6b926c373d8d50bcb5c0f6f9fa07f9d44893f739eeb4ab65b875abb080d17efe,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
four_slot,p75,pusht,3072,42,88,100,88.0,6b926c373d8d50bcb5c0f6f9fa07f9d44893f739eeb4ab65b875abb080d17efe,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
four_slot,p66,tworoom,42,0,100,100,100.0,f7f93ef88cbff52beed529c4d4bb763ec9a48ec4f6c0dcc15988f9fae0913e1f,2fea3d51e85b1a93c284f566bbd9714eb70d013507554bd581b851b33ad4643a
four_slot,p66,tworoom,42,1,100,100,100.0,f7f93ef88cbff52beed529c4d4bb763ec9a48ec4f6c0dcc15988f9fae0913e1f,a46e008facb0427a97dadde11e39f105f9ac3fb138627b254fcd9cbb83ec8805
four_slot,p66,tworoom,42,42,99,100,99.0,f7f93ef88cbff52beed529c4d4bb763ec9a48ec4f6c0dcc15988f9fae0913e1f,216250de76495a17a58bb16538b678408063798c3e4f55381943b79214ac83f6
five_slot,p75,reacher,42,0,50,100,50.0,f79bbe001027017bbec4478127cf07a4b9920386a940bccf63a3e8efc9d0a66e,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
five_slot,p75,reacher,42,1,53,100,53.0,f79bbe001027017bbec4478127cf07a4b9920386a940bccf63a3e8efc9d0a66e,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
five_slot,p75,reacher,42,42,45,100,45.0,f79bbe001027017bbec4478127cf07a4b9920386a940bccf63a3e8efc9d0a66e,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
four_slot,p75,cube,0,0,100,100,100.0,96ac1ddacec0a20f2319d93221de20358fb23654090e581e1085b3efa8d464ff,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
four_slot,p75,cube,0,1,100,100,100.0,96ac1ddacec0a20f2319d93221de20358fb23654090e581e1085b3efa8d464ff,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
four_slot,p75,cube,0,42,100,100,100.0,96ac1ddacec0a20f2319d93221de20358fb23654090e581e1085b3efa8d464ff,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
four_slot,p66,tworoom,3072,0,100,100,100.0,757ef68f71165a87084ccaa645690d65348a95a56c043d33a611b07a1ae4bb63,2fea3d51e85b1a93c284f566bbd9714eb70d013507554bd581b851b33ad4643a
four_slot,p66,tworoom,3072,1,99,100,99.0,757ef68f71165a87084ccaa645690d65348a95a56c043d33a611b07a1ae4bb63,a46e008facb0427a97dadde11e39f105f9ac3fb138627b254fcd9cbb83ec8805
four_slot,p66,tworoom,3072,42,98,100,98.0,757ef68f71165a87084ccaa645690d65348a95a56c043d33a611b07a1ae4bb63,216250de76495a17a58bb16538b678408063798c3e4f55381943b79214ac83f6
five_slot,p75,reacher,3072,0,56,100,56.00000000000001,8227b3eb68394b1551358a6e1f80893ba310bf46e7cd752d4658ec076aca6359,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
five_slot,p75,reacher,3072,1,50,100,50.0,8227b3eb68394b1551358a6e1f80893ba310bf46e7cd752d4658ec076aca6359,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
five_slot,p75,reacher,3072,42,51,100,51.0,8227b3eb68394b1551358a6e1f80893ba310bf46e7cd752d4658ec076aca6359,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
four_slot,p75,cube,42,0,100,100,100.0,1827f2f2506ea6a725ad847a25bb20d71189333de94178aeafff90aff86240df,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
four_slot,p75,cube,42,1,100,100,100.0,1827f2f2506ea6a725ad847a25bb20d71189333de94178aeafff90aff86240df,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
four_slot,p75,cube,42,42,100,100,100.0,1827f2f2506ea6a725ad847a25bb20d71189333de94178aeafff90aff86240df,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
five_slot,p77,pusht,0,0,85,100,85.0,25fb541e5dce26441d845b6650ccfaae7a8da09a2eebc45c84bd0a2aeef7193b,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
five_slot,p77,pusht,0,1,88,100,88.0,25fb541e5dce26441d845b6650ccfaae7a8da09a2eebc45c84bd0a2aeef7193b,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
five_slot,p77,pusht,0,42,84,100,84.0,25fb541e5dce26441d845b6650ccfaae7a8da09a2eebc45c84bd0a2aeef7193b,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
four_slot,p75,cube,3072,0,100,100,100.0,cf1aead19bbcde9be76f99db4b44470153d175b1a0d62b3c68d2c725aa9cf663,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
four_slot,p75,cube,3072,1,100,100,100.0,cf1aead19bbcde9be76f99db4b44470153d175b1a0d62b3c68d2c725aa9cf663,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
four_slot,p75,cube,3072,42,100,100,100.0,cf1aead19bbcde9be76f99db4b44470153d175b1a0d62b3c68d2c725aa9cf663,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
five_slot,p77,pusht,42,0,90,100,90.0,0d95ab557d38b2a0b1f34effbb2ede51f279ba987ce068e15fc4522e75a5e415,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
five_slot,p77,pusht,42,1,90,100,90.0,0d95ab557d38b2a0b1f34effbb2ede51f279ba987ce068e15fc4522e75a5e415,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
five_slot,p77,pusht,42,42,88,100,88.0,0d95ab557d38b2a0b1f34effbb2ede51f279ba987ce068e15fc4522e75a5e415,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
four_slot,p75,reacher,0,0,50,100,50.0,5636699d166984681671ca42846f1c8e4401bf8297f68c6cc7a6d4b5679edb3c,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
four_slot,p75,reacher,0,1,44,100,44.0,5636699d166984681671ca42846f1c8e4401bf8297f68c6cc7a6d4b5679edb3c,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
four_slot,p75,reacher,0,42,47,100,47.0,5636699d166984681671ca42846f1c8e4401bf8297f68c6cc7a6d4b5679edb3c,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
five_slot,p77,pusht,3072,0,90,100,90.0,b937fbe4fd2f8f0599739d79263ba932e36f596edeac49482d5128de59459040,f90fd6b829f6c52f821c474ff7c58d6fad64c4f5713ac6f146262181a89a74d6
five_slot,p77,pusht,3072,1,86,100,86.0,b937fbe4fd2f8f0599739d79263ba932e36f596edeac49482d5128de59459040,9d229873dc1e161c3a6be6bcce7e1d8f8f0b7b488a4b3bbda740fd54097bab29
five_slot,p77,pusht,3072,42,86,100,86.0,b937fbe4fd2f8f0599739d79263ba932e36f596edeac49482d5128de59459040,dcdce1f5e90c29246b70670d6a61171bd8ba17814bc88726ac65994714c14afa
four_slot,p75,reacher,42,0,49,100,49.0,5239761cdcbc1b56e9cea07d37bf6755348ac1a3a90bb51e282d3ae3862def26,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
four_slot,p75,reacher,42,1,47,100,47.0,5239761cdcbc1b56e9cea07d37bf6755348ac1a3a90bb51e282d3ae3862def26,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
four_slot,p75,reacher,42,42,60,100,60.0,5239761cdcbc1b56e9cea07d37bf6755348ac1a3a90bb51e282d3ae3862def26,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
five_slot,p77,cube,0,0,100,100,100.0,3a91b475e1eda071c09d6049cc1db56401945d31bc6be60907dcce8c5ad097b6,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
five_slot,p77,cube,0,1,100,100,100.0,3a91b475e1eda071c09d6049cc1db56401945d31bc6be60907dcce8c5ad097b6,6dd8ea3c417d4f77303703be3b21bb6c4f5d0ab0d67afb2f1a008996fe5e238f
five_slot,p77,cube,0,42,100,100,100.0,3a91b475e1eda071c09d6049cc1db56401945d31bc6be60907dcce8c5ad097b6,03f9c3a375707bdcd40d32aa1be26ef15ab2529fe513e67eea59789b36c70d63
four_slot,p75,reacher,3072,0,48,100,48.0,1dd843526a4a68c9b90db0d5b2d32dd77f9e94ddd0934a3596645439e7cb338a,f47cccfbe9abdf5fd9345e05d4c1827a0e923d9ebfdf7acd55f66d3744a079fe
four_slot,p75,reacher,3072,1,50,100,50.0,1dd843526a4a68c9b90db0d5b2d32dd77f9e94ddd0934a3596645439e7cb338a,87acf32a019f1c9ef63449dd573a5f845d45c772f6de425e83aeca976d154565
four_slot,p75,reacher,3072,42,39,100,39.0,1dd843526a4a68c9b90db0d5b2d32dd77f9e94ddd0934a3596645439e7cb338a,1ab745023ffc673aeef2f073aa7b7d1ba2ab00cd0caf39cc392a6a6ff54d387c
five_slot,p77,cube,42,0,100,100,100.0,5326bb4a8933cadafd7cc07db8b678c0f9ca9bf0fd4eb0538a23a76ee1c8e592,d06053263ecfa4bc3f2a7b0a996239a5105177f2de18cdefc5ec41cdab3097e7
